user_second_field	No OdM	Brak zlecenia pracy	No WO	Нет ордера	
camera_access_denied	Hai negato l'accesso alla fotocamera, per abilitare questa funzionalità vai nelle impostazioni.	Brak dostępu do aparatu, aby włączyć tę funkcję, przejdź do ustawień.	You do not have acces to the camera, to enable this feature change the phone settings. If this doesn't work, request IT assistance.	Вы запретили доступ к камере, чтобы включить эту функцию, перейдите в настройки устройства.	
attachments_presentation_failure	Si è verificato un errore durante il caricamento dell'allegato.	Wystąpił błąd podczas ładowania załącznika.	An error occurred while loading the attachment.	Ошибка при загрузке вложения	
push_notification_permission_denied	Le notifiche sono disattivate per questa app, per abilitarle vai nelle impostazioni.	Informacje pulpitu są wyłączone dla tej aplikacji, przejdź do ustawień żeby zmienić ustawienia.	Push-info are disabled for this app, to enable them go to the settings.	Push-информация отключена для этого приложения, чтобы включить перейдите в настройки устройства.	
offline_store_synch_running	Sincronizzazione dati in corso, riprova più tardi.	Synchronizacja danych w toku, spróbuj ponownie	Data synchronization in progress, please try again later.	Выполняется синхронизация данных. Повторите попытку позже	
item_not_found	Errore nel caricamento delle informazioni.	Błąd podczas ładowania informacji.	Error loading the information.	Ошибка загрузки информации	
old_notification	Attività già eseguita da un altro utente	Czynność już wykonana przez innego użytkownika	Error while loading information, notification may be obsolete	Действике*	
notification_parsing_failure	Non è stato possibile recuperare le informazioni per questa richiesta, consultare la propria lista di lavoro per visualizzarla.	Nie można pobrać informacji dla tej prośby, sprawdź listę roboczą, aby ją wyświetlić.	Unable to retrieve the information for this request, consult your working list to view it.	Не удалось получить информацию для этого запроса, обратитесь к своему рабочему списку, чтобы просмотреть его.	
feature_not_available_offline_error	Questa funzionalità non è disponibile offline	Ta funkcja nie jest dostępna w trybie offline	This feature is not available offline	Эта функция недоступна в офлайн	
max_item_reached	Puoi selezionare al massimo 5 elementi!	Możesz wybrać do 5 pozycji!	You can select up to 5 items!	Вы можете выбрать до 5 элементов!	
material_number_not_found	Numero materiale non trovato	Nie znaleziono numeru materiału	Material number not found	Номер материала не найден	
invalid_document_link_error	Il collegamento al documento non è valido	Link do dokumentu jest nieprawidłowy	Link to document not valid	Ссылка на документ недействительна	
already_assigned	Richiesta già presa in carico da un utente	Zlecenie już przyjęte przez użytkownika	Request already taken on by a user	Запрос уже принят пользователем	
already_assigned_to	Richiesta già presa in carico da un utente %@	Request already taken on by a user %@	Request already taken on by a user %@	Request already taken on by a user %@	
user_logout_failed	Errore durante il logout, si prega di riprovare!	Błąd podczas wylogowania, spróbuj ponownie!	Error while logging out, please try again!	Ошибка при выходе из приложения, попробуйте еще раз!	
logout_offline_error	Sei offline, se vuoi fare log-out tornare in modalità online	Jesteś offline, przeloguj się	Offline: log out & log back in for online mode	Вы в режиме офлайн, если Вы хотите войти, вернитесь в онлайн режим	
notification_assigned_status_closed	Impossibile completare l'azione, la notifica corrispondente all'ordine in carico non è in stato assegnato o il tipo di ordine non prevede consuntivazione	Brak możliwości dokończenia operacji, zgłoszenie odpowiadające zleceniu nie jest przypisane lub rodzaj zlecenia nie przewiduje podsumowania technicznego	Unable to complete the action, the notification corresponding to the order in charge is not in assigned status or the type of order does not provide for technical summary	Невозможно завершить действие, так как нотификация, соответствующая ордеру, находится в некорректном статусе, или для данного типа ордера не предоставляется технического заключения	
action_not_possible_due_to_wrong_status	Attività già eseguita da un altro utente	Nie można ukończyć operacji, zgłoszenie ma nieprawidłowy status	Activity already carried out by another user	Невозможно завершить действие, так как нотификация находится в некорректном состоянии	
no_work_order_assigned	Impossibile completare l'azione, non si ha alcun ordine di lavoro assegnato	Nie można ukończyć operacji, nie masz przypisanego zlecenia pracy	Unable to complete the action, you do not have any assigned work order	Невозможно совершить действие, так как у Вас нет назначенного ордера	
synching_spare_parts_reservation	Sincronizzazione parti di ricambio in corso, è necessario attendere il completamento per creare una reservation	Trwa synchronizacja części zamiennych, poczekaj na rezerwację	Synchronization of spare parts in progress, it is necessary to wait for completion to create a reservation	Выполняется синхронизация запчастей, необходимо дождаться завершени процесса для создания резервирования	
synching_spare_parts_general	Sincronizzazione parti di ricambio in corso, è necessario attendere il completamento prima di procedere	Trwa synchronizacja części zamiennych, poczekaj aż się zakończy	Synchronization of spare parts in progress, it is necessary to wait for completion before proceeding	Выполняется синхронизация запчастей, необходимо дождаться завершения, прежде чем продолжить	
mobile_equipment	Per questo tipo di equipment è necessario proseguire il flusso sul sistema sorgente	W przypadku tego typu urządzeń konieczne jest kontynuowanie operacji w SAP	For this type of equipment it is necessary to continue the flow on the source system	Для этого типа оборудования необходимо продолжить поток в исходной системе.	
attachments_upload_unavailable	Non è stato possibile caricare i tuoi allegati perchè la connessione è assente	Nie można wczytać załączników, brak połączenia	Your attachments could not be loaded because the connection is absent	Файлы не могут быть загружены из-за отсутствия соединения	
attachments_upload_failed	Il caricamento degli allegati è fallito con i seguenti errori: %@	Ładowanie załączników nie powiodło się z następującymi błędami: %@	Attachments' loading failed with the following errors: %@	При загрузке файлов произошли следующие ошибки:	
attachments_size_exceeded	L'allegato supera la dimensione massima di 10MB	Załącznik przekracza maksymalny rozmiar 10 MB	Attachment exceeds the maximum size of 10MB	Файл превышает максимальный размер 10 МB.	
unavailable_attachment_size	Non è stato possibile verificare la dimensione degli allegati, riprova.	Nie można zweryfikować rozmiaru załączników, spróbuj ponownie.	Unable to verify the size of attachments, please try again.	Не удалось проверить размер вложенных файлов, попробуйте еще раз.	
offline_sync_error	Errore di sincronizzazione con il sistema sorgente sull'entità %@:\n %@ \nverificare gli oggetti creati quando si era offline.	Błąd synchronizacji z systemem źródłowym obiektu %@:\n %@\nsprawdź obiekty utworzone w trybie offline.	Synchronization error with the source system on the entity  %@:\n %@\ncheck the objects created when you were offline.	Ошибка синхронизации с исходной системой на объекте. Проверьте объек, созданный, когда Вы были в офлайн-режиме	
complete_flow	Completare l'operazione corrente	Zakończ bieżącą operację	Complete the current operation	Завершить текущую операцию	
attachments_conversion_data_failed	Impossibile leggere il contenuto del file	Nie można odczytać zawartości pliku	Unable to read file content	Невозможно воспроизвести содержимое файла	
attachments_temp_folder_write_failed	Errore durante il download del file	Błąd podczas pobierania pliku	Error while downloading file	Ошибка при скачивании файла	
attachments_compression_failed	Compressione allegato fallita, riprovare	Kompresja załącznika nie powiodła się, spróbuj ponownie	Attachment compression failed, please try again	Не удалось сжать прикрепленные файлы, попробуйте еще раз	
connection_error_notification_creation	A causa di problemi di connessione, l'oggetto potrebbe non essere stato creato. Si prega di verificare nella lista attività, in caso contrario è necessario riprovare.	Z powodu problemów z połączeniem obiekt mógł nie zostać utworzony. Sprawdź listę aktywności, w przeciwnym razie spróbuj ponownie.	Due to connection problems, the object may not have been created. Please check the activity list, otherwise try again.	Из-за проблем с соеденением, нотификация НЕ была создана	
invalid_regex	La regola di validazione non può essere verificata	Nie można zweryfikować zgodności sprawdzenia	The validation rule cannot be verified	Правило проверки не может быть проверено	
required_error	Questo valore è obbligatorio	Wymagana wartość	This value is mandatory	Это значение обязательно	
missing_content	Il valore inserito non contiene %@	Wprowadzona wartość nie zawiera %@	The entered value does not contain %@	Введенное значение ничего не содержит %@	
missing_prefix	Il valore inserito non contiene il prefisso %@	Wprowadzona wartość nie zawiera początku %@	The entered value does not contain the prefix %@	Введенное значение не содержит приставки %@	
missing_suffix	Il valore inserito non contiene il suffisso %@	Wprowadzona wartość nie zawiera zakończenia %@	The entered value does not contain the suffix %@	Введенное значение не содержит окончания %@	
only_numbers_error	Il valore inserito deve contenere solo numeri	Wprowadzona wartość musi zawierać tylko liczby	The entered value must contain only numbers	Введенное значение должно содержать только цифры	
not_zero_error	Il valore inserito deve essere maggiore di 0	Wprowadzona powinna być większa niż 0	The value entered shall be greater than 0	Введенное значение должно быть больше 0	
max_characters_error	Puoi inserire solo %@ caratteri	Możesz wprowadzać tylko znaki %@	You can only enter %@ characters	Перевышенно количество символов	
has_emoji_error	Il valore inserito contiene caratteri non validi	Wprowadzona wartość zawiera nieprawidłowe znaki	The entered value contains invalid characters	Введенное значение содержит недопустимые парамметры	
not_after_now	Data non corretta	Nieprawidłowa data	Incorrect date	Неверная дата	
not_before_now	Data non corretta	Incorrect date	Incorrect date	Incorrect date	
data_synchronization_message	Sincronizzo i dati	Synchronizuj dane	Synchronize the data	Синхронизировать данные	
retry_limit_reached_title	Hai raggiunto il limite massimo di tentativi.	Osiągnąłeś limit prób.	You have reached the maximum number of attempts.	Превышено количество попыток	
retry_limit_reached_message	Hai raggiunto il numero massimo di tentativi. L'applicazione deve essere resettata.	Osiągnąłeś maksymalną liczbę prób. Aplikacja wymaga zresetowania.	You have reached the maximum number of attempts. The application needs to be reset.	Превышено количество попыток. Приложение необходимо перезагрузить	
retry_button_title	Riprova	Spróbuj ponownie	Try again	Попробуйте еще раз	
reset_button_title	Reset	Reset	Reset	Сбросить	
login_failed_title	Login non riuscita.	Logowanie nie powiodło się.	Login failed.	Ошибка авторизации	
error_title	Attenzione	Attention	Attention	Attention	
error_ok_button	OK	OK	OK	ОК	
alert_controller_authorizations_go_to_settings	Hai negato l'autorizzazione a questa funzionalità. Per modificarla accedi alle impostazioni.	Brak dostępu do tej funkcji. Aby to zmienić, przejdź do ustawień.	You do not have permission for this feature. To change permissions, you much request IT assistance.	Вы отказали в доступе к этой функции. Чтобы его изменить, зайдите в настройки.	
alert_controller_go_to_settings_button	Vai a Impostazioni	Przejdź do ustawień	Go to Settings	Перейти к настройкам	
loading_message	CARICAMENTO IN CORSO	Trwa przesyłanie załączników	Uploading attachments in progress	Выполняется загрузка вложений	
home_page_title	Pagina Iniziale	Strona główna	Homepage	Стартовый экран	
home_page_action_report_a_failure	Gestione Richieste	Zarządzanie zgłoszeniami	Notification Management	Управление нотификацией	
home_page_action_manage_MCTE	Manutenzione	Konserwacja	Maintenance	Техническое обслуживание	
home_page_action_documentation	Documentazione & Anagrafica	Dokumentacja i dane podstawowe	Documentation & Master data	Документация и Основные данные	
report_a_failure_page_title	Gestione Richieste	Notification Management	Notification Management	Notification Management	
report_a_failure_create_notification	Creazione Richiesta	Utwórz zgłoszenie	Create notification	Создать нотификацию	
report_a_failure_confirm_restart	Conferma Ripartenza	Potwierdzenie startu	Restart confirmation	Подтверждение запуска	
report_a_failure_notification_list	Lista Richieste	Lista zgłoszeń	Notification List	Список нотификаций	
equipment_details_page_title	Dettagli Equipment	Szczegóły urządzenia	Equipment details	Подробности оборудования	
equipment_details_title_equipment	Equipment	Urządzenie*	Equipment	Подробности оборудования*	
equipment_details_title_func_location	Sede tecnica	Lokalizacja funkcjonalna	Functional Location	Локация	
equipment_details_title_inventory_number	Numero NT	Numer inwentarzowy	Inventory number	Инвентарный номер	
equipment_details_confirm_button_title	Conferma	Potwierdź	Confirm	Подтвердить	
notification_details_page_title	Richiesta Salvata	Zgłoszenie zapisane	Notification saved	Нотификация сохранена	
notification_details_title_notification_ID	Richiesta	Zgłoszenie	Notification	Подробности нотификации	
notification_details_title_work_order_ID	Ordine di Manutenzione	Zlecenie pracy	Work Order	Подробности	
notification_details_title_equipment	Equipment	Equipment	Equipment	Equipment	
notification_details_title_func_location	Sede Tecnica	Functional Location	Functional Location	Functional Location	
notification_details_title_inventory_number	Numero NT	Inventory number	Inventory number	Inventory number	
notification_details_title_short_text	Descrizione della richiesta	Opis zgłoszenia	Short text	Название нотификации	
notification_details_close_button_title	Chiudi	Zamknij	Close	Закрыть	
notification_details_toast_message	Nuova Richiesta Creata	Utworzono nowe zgłoszenie	New Notification Created	Создана новая нотификация	
notification_details_toast_message_offline	Dato salvato in locale	Dane zapisywane lokalnie	Data saved locally	Данные сохраняются локально	
notification_details_work_order_toast_message	Nuova Richiesta e nuovo Ordine di Manutenzione creati	Utworzono nowe powiadomienie i nowe zlecenie pracy	New Notification and New Work Order created	Создана новая нотификация и ордер	
create_notification_page_title	Crea Richiesta	Tworzenie zgłoszenia	Notification creation	Создание нотификации	
create_notification_required_information	* indica un campo obbligatorio	* Wymagane pole	* Required field	Требуемое поле	
create_notification_equipment_title	Equipment	Equipment	Equipment	Equipment	
create_notification_type_title_mandatory	Tipo*	Rodzaj*	Notification Type*	Тип нотификации*	
create_notification_type_title	Tipo	Typ	Notification Type	Тип	
create_notification_coding_title_mandatory	Coding*	Kodowanie*	Coding*	Код	
create_notification_coding_title	Coding	Kodowanie	Coding	Код	
create_notification_malfunction_start_date_mandatory	Inizio Manut.*	Rozpoczęcie zadania *	Malfunction Start*	Начало простоя*	
create_notification_malfunction_start_date	Inizio Manut.	Rozpoczęcie zadania	Malfunction Start	Начало простоя	
create_notification_breakdown_title	Fermo Macchina	Awaria	Breakdown	Простой оборудования	
create_notification_reported_by_title_mandatory	Richiesto da*	Zgłaszający *	Reported by*	Созданно*	
create_notification_reported_by_title	Richiesto da	Zgłaszający	Reported by	Созданно	
create_notification_short_text_placeholder_mandatory	Descrizione della richiesta*	Notification description*	Notification description*	Notification description*	
create_notification_short_text_placeholder	Descrizione della richiesta	Notification description	Notification description	Notification description	
create_notification_effect_title_mandatory	Effetto*	Skutek*	Effect*	Эффект*	
create_notification_effect_title	Effetto	Skutek	Effect	Эффект от поломки	
create_notification_main_work_center_title_mandatory	Officina competente*	Grupa robocza *	Workcenter*	Рабочее место*	
create_notification_main_work_center_title	Officina competente	Grupa robocza	Workcenter	Рабочее место	
create_notification_priority_title_mandatory	Priorità*	Priorytet*	Priority*	Приоритет*	
create_notification_priority_title	Priorità	Priorytet	Priority	Приоритет	
create_notification_maintenance_activity_type_title_mandatory	Tipo di attività*	Rodzaj pracy*	Activity Type*	Тип деятельности*	
create_notification_maintenance_activity_type_title	Tipo di attività	Typ pracy	Activity Type	Тип деятельности	
create_notification_long_text_placeholder_mandatory	Note Aggiuntive*	Dodatkowe uwagi*	Additional Notes*	Дополнительная информация*	
create_notification_long_text_placeholder	Note Aggiuntive	Dodatkowe uwagi	Additional Notes	Дополнительная информация	
create_notification_footer_button_title	Salva	Zapisz	Save	Сохранить	
create_notification_attachments_take_photo_action	Scatta una foto	Zrób zdjęcie	Take a picture	Сделать фото	
create_notification_attachments_take_video_action	Fai un video	Zrób film	Make a video	Сделать видео	
create_notification_attachments_import_photo_action	Libreria foto	Biblioteka zdjęć	Picture library	Библиотека изображений	
create_notification_attachments_import_file_action	File	Plik	File	Файл	
create_notification_attachments_title	Allegati (%d)	Załączniki	Attachments (%d)	Прикрепить файл	
coding_table_view_cell_coding_title_mandatory	Coding*	Coding*	Coding*	Coding*	
coding_table_view_cell_coding_title	Coding	Coding	Coding	Coding	
coding_table_view_cell_code_group_title	Code Group	Grupa kodów	Code Group	Группа кодов	
coding_table_view_cell_code_title	Code	Kod	Code	Код	
picker_alert_menu_title	Selezionare un tipo Ordine	Wybierz typ zlecenia pracy	Select WO type	Выбрать тип ордера	
create_notification_alert_controller_title	Vuoi Creare un Ordine di Manutenzione?	Chcesz stworzyć zlecenie pracy?	Do you want to create a WO?	Вы хотите создать ордер?	
create_notification_alert_controller_left_button	No	Nie	No	Нет	
create_notification_alert_controller_right_button	Si	TAK	Yes	Да	
select_equipment_page_title	Creazione Richiesta - Equipment	Tworzenie zgłoszenia - Urządzenie	Notification create - Equipment	Выбор оборудования	
select_equipment_table_section_header	Equipment trovati: %@	Znalezione urządzenia:	Equipment found: %@	Поиск оборудования	
select_equipment_search_bar_placeholder	Ricerca Equipment	Wyszukiwanie urządzenia	Search Equipment	Поиск оборудования	
select_equipment_table_filter_button	Filtri	Filters	Filters	Filters	
select_equipment_table_scan_button	Codice a Barre	kod kreskowy	Barcode	Штрих-код	
select_equipment_title_filter_cost_center	Ricerca per: Centro di Costo	Szukaj według: Centrum kosztów	Search by: Cost Center	Поиск по МВЗ	
select_equipment_title_filter_functional_location	Ricerca per: Sede Tecnica	Szukaj według: Lokalizacja funkcjonalna	Search by: Functional Location	Поиск локации	
filter_feedback_title	Ricerca per:	Szukaj:	Search for:	Поиск по:	
filter_equipment_view_title	Ricerca Equipment	Search Equipment	Search Equipment	Search Equipment	
filter_equipment_filter_form_keyname	Ricerca per:	Search for:	Search for:	Search for:	
filter_equipment_first_filter_value	Centro di Costo	Centrum kosztowe	Cost center	Место возникновение затрат (МВЗ)	
filter_equipment_second_filter_value	Sede Tecnica	Functional Location	Functional Location	Functional Location	
filter_equipment_reset_cell_text	Resetta tutto	Reset danych	Reset all	Сбросить всё	
filter_equipment_search_filter_cost_center_title	Ricerca Equipment	Search Equipment	Search Equipment	Search Equipment	
filter_equipment_search_filter_functional_location_title	Ricerca Equipment	Search Equipment	Search Equipment	Search Equipment	
filter_equipment_footer_button_title	Conferma	Confirm	Confirm	Confirm	
barcode_scan_page_title	Codice a Barre	Barcode	Barcode	Barcode	
barcode_scan_close_button	Chiudi	Close	Close	Close	
search_filter_search_placeholder	Cerca	Wybierz	Search	Поиск	
search_filter_search_page_title_cost_center	Cerca Centro di Costo	Wybierz centrum kosztowe	Search cost center	Поиск МВЗ	
search_filter_search_cost_center_count	Centro di Costo trovati: %@	Znajdź centrum kosztowe: %@	Found cost center: %@	Поиск места возникновения затрат (МВЗ)	
search_filter_search_cost_center_placeholder	Ricerca Centro di Costo	Wyszukiwanie centrum kosztów	Cost Center search	Поиск места возникновения затрат (МВЗ)	
search_filter_search_page_title_functional_location	Cerca Sede Tecnica	Wybierz lokalizację funkcjonalną	Search Functional Location	Поиск по локации	
search_filter_search_functional_location_count	Sede Tecnica trovate: %@	Znaleziono lokalizację funkcjonalną: %@	Functional Location found: %@	Локации:	
search_filter_search_functional_location_placeholder	Ricerca Sede Tecnica	Wyszukiwanie lokalizacji funkcjonalnej	Functional Location search	Поиск локации	
search_filter_search_page_title_notification_type	Cerca tipo richiesta	Wybierz typ zgłoszenia	Search Notification type	Поиск по типу нотификации	
search_filter_search_notification_type_count	Tipo Richiesta trovate: %@	Znaleziono typ zgłoszenia: %@	Notification Type found: %@	Поиск типа нотификации	
search_filter_search_notification_type_placeholder	Ricerca Tipo Richiesta	Wyszukaj typ zgłoszenia	Search Notification Type	Поиск типа нотификации	
search_filter_search_page_title_effect	Cerca effetto	Wynik wyszukiwania	Search effect	Поиск эффекта	
search_filter_search_effect_count	Effetti possibili: %@	Możliwe skutki: %@	Effects found: %@	Возможные эффекты: %@	
search_filter_search_effect_placeholder	Ricerca effetto	Wyszukiwanie efektów	Effect search	Поиск эффекта	
search_filter_search_page_title_work_center	Cerca officina	Wybierz grupę roboczą	Search workcenter	Поиск рабочего места	
search_filter_search_work_center_count	Numero officine trovate: %@	Liczba znalezionych grup roboczych: %@	Number of Work Centers found: %@	Поиск рабочего места	
search_filter_search_work_center_placeholder	Ricerca Officina Competente	Wyszukiwanie w grupie roboczej	Workcenter search	Поиск рабочего места	
search_filter_search_page_title_coding	Cerca codifica	Wybierz kod	Search coding	Поиск кода	
search_filter_search_coding_count	Codifica trovata: %@	Znaleziono kod: %@	Coding found: %@	Код	
search_filter_search_coding_placeholder	Cerca codifica	Search coding	Search coding	Search coding	
search_filter_search_page_title_maintenance_activity_type	Cerca tipo di attività	Wybierz typ aktywności	Search activity type	Поиск по виду деятельности	
search_filter_search_main_act_type_count	Tipo di attività trovati: %@	Znaleziono rodzaj pracy technicznej: %@	Activity Type found: %@	Поиск типа деятельности	
search_filter_search_maintenance_activity_type_placeholder	Cerca tipo di attività	Search activity type	Search activity type	Search activity type	
search_filter_search_page_title_equipment	Cerca Equipment	Wybierz urządzenie	Search equipment	Поиск оборудования	
search_filter_search_equipment_count	Equipment (%@)	Urządzenie (%@)	Equipment (%@)	Оборудование (%@)	
search_filter_search_page_title_PMActType	Cerca Tipo di Attività	Search activity type	Search activity type	Search activity type	
search_filter_search_PMActType_count	Tipo di Attività (%@)	Typ pracy (%@)	Activity Type (%@)	Тип деятельности (%@)	
search_filter_search_PMActType_placeholder	Cerca Tipo di Attività	Search activity type	Search activity type	Search activity type	
search_filter_search_page_title_craftsman	Cerca Manutentore	Wyszukaj technika	Search Craftsman	Поиск технического специалиста	
search_filter_search_craftsman_count	Manutentore (%@)	Technik (%@)	Craftsman (%@)	Технический специалист (%@)	
search_filter_search_craftsman_placeholder	Cerca Manutentore	Search Craftsman	Search Craftsman	Search Craftsman	
search_filter_search_page_title_spare_part	Cerca Pezzo di Ricambio	Wybierz część zamienną	Search spare parts	Поиск материала	
search_filter_search_spare_part_placeholder	Cerca Pezzo di Ricambio	Search spare parts	Search spare parts	Search spare parts	
search_filter_search_spare_part_count	Pezzo di Ricambio (%@)	Części zamienne (%@)	Spare Parts (%@)	Поиск запчасти (%@)	
search_filter_search_page_title_work_order	Cerca Ordine di Manutenzione	Wybierz zlecenie pracy	Search Work Order	Поиск ордера	
search_filter_search_work_order_placeholder	Cerca Ordine di Manutenzione	Search Work Order	Search Work Order	Search Work Order	
search_filter_search_work_order_count	Ordine di Manutenzione (%@)	Zlecenie pracy (%@)	Work Order (%@)	Ордер	
search_filter_search_page_title_workorder_type	Cerca tipo di ordine	Wybierz typ zlecenia pracy	Search WO type	Поиск по типу ордера	
search_filter_search_workorder_type_count	Tipo di ordine trovati: %@	Znaleziono typ zlecenia pracy: %@	WO Type found: %@	Поиск по типу ордера	
search_filter_search_workorder_type_placeholder	Cerca tipo di ordine	Search WO type	Search WO type	Search WO type	
search_filter_search_page_title_org_struct	Cerca utente	Wybierz użytkownika	Search user	Поиск по пользователю	
search_filter_search_org_struct_count	Utenti trovati: %@	Dostępni użytkownicy: %@	Users found: %@	Поиск пользователей:	
search_filter_search_org_struct_placeholder	Ricerca utente	Wyszukiwanie użytkowników	User search	Поиск пользователя	
search_filter_search_page_title_code_group	Cerca Code Group	Wybierz grupę planowania	Search Code Group	Поиск группы кодов	
search_filter_search_code_group_count	Code Group trovati: %@	Znaleziono grupę kodów: %@	Code Group found: %@	Поиск группы кодов	
search_filter_search_code_group_placeholder	Ricerca code group	Wyszukiwanie grupy kodów	Code group search	Поиск группы кодов	
search_filter_search_page_title_code	Cerca Code	Wybierz kod	Search code	Поиск кода	
search_filter_search_code_count	Code trovati: %@	Znaleziono kod: %@	Code found: %@	Код	
search_filter_search_code_placeholder	Ricerca code	Wyszukiwanie kodu	Code search	Поиск кода	
search_filter_search_page_title_damage	Cerca modo di Guasto	Niepowodzenia wyszukiwania	Search Failure Mode	Поиск повреждения	
search_filter_search_damage_count	Modi di Guasto trovati: %@	Znalezione tryby awarii: %@	Failure Modes found: %@	Поиск повреждения:	
search_filter_search_damage_placeholder	Ricerca modo di Guasto	Wyszukiwanie trybu awarii	Failure mode search	Поиск повреждения	
search_filter_search_page_title_cause	Cerca Causa	Wynbierz powód	Search cause	Поиск причин	
search_filter_search_cause_count	Cause trovate: %@	Znajdź przyczynę: %@	Causes found: %@	Поиск причин	
search_filter_search_cause_placeholder	Ricerca causa	Wyszukiwanie przyczyn	Search cause	Поиск причины	
search_filter_search_page_title_maintainability	Cerca Manutenibilità	Szukaj w utrzymaniu ruchu	Search Maintainability	Ремонтнопригодность	
search_filter_search_maintainability_count	Manutenibilità trovati: %@	Znaleziona konserwacja: %@	Maintainability found: %@	Обоснование*	
search_filter_search_maintainability_placeholder	Ricerca Manutenibilità	Wyszukiwanie w zakresie utrzymania	Maintainability Search	Поиск обоснования	
search_filter_search_page_title_damage_group	Cerca modo di Guasto	Search Failure Mode	Search Failure Mode	Search Failure Mode	
search_filter_search_damage_group_count	Modi di Guasto trovati: %@	Failure Modes found: %@	Failure Modes found: %@	Failure Modes found: %@	
search_filter_search_damage_group_placeholder	Ricerca modo di Guasto	Failure mode search	Failure mode search	Failure mode search	
search_filter_search_page_title_cause_group	Cerca Causa	Search cause	Search cause	Search cause	
search_filter_search_cause_group_count	Cause trovate: %@	Causes found: %@	Causes found: %@	Causes found: %@	
search_filter_search_cause_group_placeholder	Ricerca causa	Search cause	Search cause	Search cause	
search_filter_search_page_title_activity_group	Cerca Attività	Wybierz aktywność	Search activity %@	Поиск действий	
search_filter_search_activity_group_count	Attività trovate: %@	Znalezione działania: %@	Found activities	Поиск действий	
search_filter_search_activity_group_placeholder	Ricerca attività	Wyszukiwanie aktywności	Activity search	Поиск действий	
search_filter_search_page_title_activity	Cerca Attività	Search activity	Search activity	Search activity	
search_filter_search_activity_count	Attività trovate: %@	Found activities %@	Found activities %@	Found activities %@	
search_filter_search_activity_placeholder	Ricerca attività	Activity search	Activity search	Activity search	
search_filter_search_page_title_delivery_place	Punto di scarico	Punkt dostawy	Delivery point	Поставка*	
search_filter_search_delivery_place_placeholder	Cerca punto di scarico	Wyszukaj punkt dostawy	Search Delivery Point	Поиск поставки	
search_filter_search_delivery_place_count	Punti di scarico trovati: %@	Znalezione punkty dostawy: %@	Delivery points found: %@	Поиск поставки	
search_filter_search_page_title_feedback	Cerca Esito 	Wynik wyszukiwania	Search result	Поиск результата	
search_filter_search_feedback_count	Esiti trovati: %@	Znalezione rezultaty: %@	Results found: %@	Возможные результаты:	
search_filter_search_feedback_placeholder	Cerca esito	Search result	Search result	Search result	
work_order_creation_sap_notification	Richiesta SAP	Zgłoszenie z SAP	SAP Notification	SAP нотификация	
work_order_creation_sap_notification_detail_equipment_title	Equipment	Equipment	Equipment	Equipment	
work_order_creation_sap_notification_detail_priority_title	Priorità	Priority	Priority	Priority	
work_order_creation_sap_notification_detail_reported_by_title	Richiesto da	Reported by	Reported by	Reported by	
work_order_creation_sap_notification_detail_header_title	Dettagli	Detale	Details	Подробности	
work_order_creation_new_notification	Nuova Richiesta	Nowe zgłoszenie	New Notification	Новый ордер	
work_order_creation_assigned_notification	Richiesta Assegnata	Zgłoszenie przypisane	 Notification assigned	Нотификация назначена	
work_order_creation_assigned_work_order	Dettaglio Ordine Assegnato	Szczegóły przypisanego zlecenia pracy	WO Assigned details	Подробности назначенного ордера	
